Time,mRNA_concentration,Protein_concentration
18.600000,1.999723,3.996259
18.700000,1.999736,3.996415
18.800000,1.999749,3.996564
18.900000,1.999761,3.996708
19.000000,1.999773,3.996846
19.100000,1.999784,3.996979
19.200000,1.999794,3.997106
19.300000,1.999804,3.997229
19.400000,1.999814,3.997346
19.500000,1.999823,3.997458
19.600000,1.999832,3.997565
19.700000,1.999840,3.997668
19.800000,1.999848,3.997767
19.900000,1.999855,3.997861
20.000000,1.999862,3.997952
20.100000,1.999869,3.998038
20.200000,1.999875,3.998122
20.300000,1.999881,3.998202
20.400000,1.999887,3.998278
20.500000,1.999893,3.998351
20.600000,1.999898,3.998422
20.700000,1.999903,3.998489
20.800000,1.999908,3.998554
20.900000,1.999912,3.998616
21.000000,1.999917,3.998675
21.100000,1.999921,3.998732
21.200000,1.999925,3.998787
21.300000,1.999929,3.998839
21.400000,1.999932,3.998889
21.500000,1.999935,3.998937
21.600000,1.999939,3.998982
21.700000,1.999942,3.999026
21.800000,1.999944,3.999068
21.900000,1.999947,3.999109
22.000000,1.999950,3.999148
22.100000,1.999952,3.999185
22.200000,1.999955,3.999221
22.300000,1.999957,3.999255
22.400000,1.999959,3.999288
22.500000,1.999961,3.999320
22.600000,1.999963,3.999350
22.700000,1.999965,3.999379
22.800000,1.999967,3.999407
22.900000,1.999969,3.999434
23.000000,1.999971,3.999459
23.100000,1.999972,3.999484
23.200000,1.999974,3.999507
23.300000,1.999975,3.999529
23.400000,1.999977,3.999550
23.500000,1.999978,3.999570
23.600000,1.999979,3.999589
23.700000,1.999980,3.999608
23.800000,1.999982,3.999626
23.900000,1.999983,3.999643
24.000000,1.999984,3.999659
24.100000,1.999985,3.999675
24.200000,1.999986,3.999690
24.300000,1.999987,3.999705
24.400000,1.999988,3.999719
24.500000,1.999989,3.999733
24.600000,1.999989,3.999746
24.700000,1.999990,3.999759
24.800000,1.999991,3.999771
24.900000,1.999992,3.999783
25.000000,1.999993,3.999795
25.100000,1.999993,3.999806
25.200000,1.999994,3.999816
25.300000,1.999995,3.999827
25.400000,1.999996,3.999836
25.500000,1.999996,3.999846
25.600000,1.999997,3.999855
25.700000,1.999997,3.999863
25.800000,1.999998,3.999871
25.900000,1.999998,3.999879
26.000000,1.999999,3.999886
26.100000,1.999999,3.999893
26.200000,1.999999,3.999899
26.300000,1.999999,3.999905
26.400000,2.000000,3.999910
26.500000,2.000000,3.999915
26.600000,2.000000,3.999919
26.700000,2.000000,3.999923
26.800000,2.000000,3.999927
26.900000,2.000000,3.999930
27.000000,2.000000,3.999934
27.100000,2.000000,3.999937
27.200000,2.000000,3.999940
27.300000,2.000000,3.999944
27.400000,1.999999,3.999947
27.500000,1.999999,3.999950
27.600000,1.999999,3.999952
27.700000,1.999999,3.999955
27.800000,1.999999,3.999958
27.900000,1.999999,3.999960
28.000000,1.999999,3.999963
28.100000,1.999999,3.999966
28.200000,1.999999,3.999968
28.300000,1.999999,3.999970
28.400000,1.999999,3.999973
28.500000,1.999999,3.999975
28.600000,1.999999,3.999977
28.700000,1.999999,3.999979
28.800000,1.999999,3.999981
28.900000,2.000000,3.999983
29.000000,2.000000,3.999985
29.100000,2.000000,3.999987
29.200000,2.000000,3.999989
29.300000,2.000000,3.999990
29.400000,2.000000,3.999992
29.500000,2.000000,3.999993
29.600000,2.000000,3.999995
29.700000,2.000001,3.999996
29.800000,2.000001,3.999997
29.900000,2.000001,3.999998
30.000000,2.000001,4.000000
30.100000,2.000002,4.000001
30.200000,2.000002,4.000002
30.300000,2.000002,4.000003
30.400000,2.000002,4.000005
30.500000,2.000002,4.000006
30.600000,2.000003,4.000007
30.700000,2.000003,4.000008
30.800000,2.000003,4.000009
30.900000,2.000003,4.000011
31.000000,2.000004,4.000012
31.100000,2.000004,4.000013
31.200000,2.000004,4.000014
31.300000,2.000004,4.000015
31.400000,2.000004,4.000016
31.500000,2.000004,4.000017
31.600000,2.000005,4.000018
31.700000,2.000005,4.000019
31.800000,2.000005,4.000020
31.900000,2.000005,4.000020
32.000000,2.000005,4.000021
32.100000,2.000005,4.000022
32.200000,2.000005,4.000022
32.300000,2.000005,4.000022
32.400000,2.000005,4.000023
32.500000,2.000004,4.000023
32.600000,2.000004,4.000023
32.700000,2.000004,4.000023
32.800000,2.000004,4.000023
32.900000,2.000003,4.000022
33.000000,2.000003,4.000022
33.100000,2.000003,4.000022
33.200000,2.000003,4.000022
33.300000,2.000002,4.000021
33.400000,2.000002,4.000021
33.500000,2.000002,4.000021
33.600000,2.000001,4.000020
33.700000,2.000001,4.000020
33.800000,2.000001,4.000019
33.900000,2.000000,4.000019
34.000000,2.000000,4.000018
34.100000,1.999999,4.000018
34.200000,1.999999,4.000017
34.300000,1.999999,4.000017
34.400000,1.999998,4.000016
34.500000,1.999998,4.000016
34.600000,1.999998,4.000015
34.700000,1.999997,4.000015
34.800000,1.999997,4.000014
34.900000,1.999996,4.000014
35.000000,1.999996,4.000013
35.100000,1.999996,4.000013
35.200000,1.999995,4.000012
35.300000,1.999995,4.000011
35.400000,1.999995,4.000011
35.500000,1.999994,4.000010
35.600000,1.999994,4.000010
35.700000,1.999994,4.000009
35.800000,1.999994,4.000008
35.900000,1.999993,4.000008
36.000000,1.999993,4.000007
36.100000,1.999993,4.000007
36.200000,1.999993,4.000006
36.300000,1.999992,4.000005
36.400000,1.999992,4.000005
36.500000,1.999992,4.000004
36.600000,1.999992,4.000003
36.700000,1.999992,4.000003
36.800000,1.999992,4.000002
36.900000,1.999992,4.000002
37.000000,1.999992,4.000001
37.100000,1.999992,4.000000
37.200000,1.999992,4.000000
37.300000,1.999993,3.999999
37.400000,1.999993,3.999999
37.500000,1.999993,3.999998
37.600000,1.999993,3.999998
37.700000,1.999994,3.999997
37.800000,1.999994,3.999996
37.900000,1.999995,3.999996
38.000000,1.999995,3.999995
38.100000,1.999995,3.999995
38.200000,1.999996,3.999994
38.300000,1.999996,3.999994
38.400000,1.999996,3.999993
38.500000,1.999997,3.999993
38.600000,1.999997,3.999992
38.700000,1.999998,3.999992
38.800000,1.999998,3.999991
38.900000,1.999998,3.999991
39.000000,1.999999,3.999990
39.100000,1.999999,3.999990
39.200000,2.000000,3.999989
39.300000,2.000000,3.999989
39.400000,2.000001,3.999988
39.500000,2.000001,3.999988
39.600000,2.000001,3.999987
39.700000,2.000002,3.999987
39.800000,2.000002,3.999986
39.900000,2.000003,3.999986
40.000000,2.000003,3.999986
40.100000,2.000004,3.999985
40.200000,2.000004,3.999985
40.300000,2.000004,3.999984
40.400000,2.000005,3.999984
40.500000,2.000005,3.999984
40.600000,2.000006,3.999983
40.700000,2.000006,3.999983
40.800000,2.000006,3.999983
40.900000,2.000007,3.999983
41.000000,2.000007,3.999982
41.100000,2.000007,3.999982
41.200000,2.000008,3.999982
41.300000,2.000008,3.999982
41.400000,2.000009,3.999981
41.500000,2.000009,3.999981
41.600000,2.000009,3.999981
41.700000,2.000010,3.999981
41.800000,2.000010,3.999981
41.900000,2.000010,3.999981
42.000000,2.000010,3.999981
42.100000,2.000011,3.999981
42.200000,2.000011,3.999981
42.300000,2.000011,3.999981
42.400000,2.000011,3.999981
42.500000,2.000012,3.999981
42.600000,2.000012,3.999981
42.700000,2.000012,3.999981
42.800000,2.000012,3.999981
42.900000,2.000012,3.999981
43.000000,2.000012,3.999982
43.100000,2.000013,3.999982
43.200000,2.000013,3.999982
43.300000,2.000013,3.999982
43.400000,2.000013,3.999983
43.500000,2.000013,3.999983
43.600000,2.000013,3.999983
43.700000,2.000013,3.999984
43.800000,2.000013,3.999984
43.900000,2.000013,3.999985
44.000000,2.000013,3.999985
44.100000,2.000013,3.999986
44.200000,2.000013,3.999986
44.300000,2.000013,3.999987
44.400000,2.000012,3.999987
44.500000,2.000012,3.999988
44.600000,2.000012,3.999989
44.700000,2.000012,3.999989
44.800000,2.000012,3.999990
44.900000,2.000011,3.999991
45.000000,2.000011,3.999992
45.100000,2.000011,3.999993
45.200000,2.000010,3.999994
45.300000,2.000010,3.999995
45.400000,2.000010,3.999995
45.500000,2.000009,3.999997
45.600000,2.000009,3.999998
45.700000,2.000008,3.999999
45.800000,2.000008,4.000000
45.900000,2.000007,4.000001
46.000000,2.000007,4.000002
46.100000,2.000006,4.000003
46.200000,2.000006,4.000004
46.300000,2.000006,4.000005
46.400000,2.000005,4.000006
46.500000,2.000005,4.000007
46.600000,2.000004,4.000008
46.700000,2.000004,4.000009
46.800000,2.000003,4.000010
46.900000,2.000003,4.000010
47.000000,2.000003,4.000011
47.100000,2.000002,4.000012
47.200000,2.000002,4.000013
47.300000,2.000001,4.000014
47.400000,2.000001,4.000015
47.500000,2.000001,4.000016
47.600000,2.000000,4.000016
47.700000,2.000000,4.000017
47.800000,2.000000,4.000018
47.900000,1.999999,4.000019
48.000000,1.999999,4.000019
48.100000,1.999998,4.000020
48.200000,1.999998,4.000021
48.300000,1.999998,4.000021
48.400000,1.999997,4.000022
48.500000,1.999997,4.000022
48.600000,1.999997,4.000023
48.700000,1.999997,4.000023
48.800000,1.999996,4.000024
48.900000,1.999996,4.000024
49.000000,1.999996,4.000025
49.100000,1.999995,4.000025
49.200000,1.999995,4.000026
49.300000,1.999995,4.000026
49.400000,1.999995,4.000026
49.500000,1.999995,4.000026
49.600000,1.999994,4.000027
49.700000,1.999994,4.000027
49.800000,1.999994,4.000027
49.900000,1.999994,4.000027
50.000000,1.999994,4.000027
