Time,Protein_concentration
31.900000,1.999405
32.000000,1.999375
32.100000,1.999357
32.200000,1.999353
32.300000,1.999358
32.400000,1.999367
32.500000,1.999382
32.600000,1.999402
32.700000,1.999427
32.800000,1.999456
32.900000,1.999489
33.000000,1.999525
33.100000,1.999565
33.200000,1.999607
33.300000,1.999650
33.400000,1.999694
33.500000,1.999739
33.600000,1.999785
33.700000,1.999831
33.800000,1.999876
33.900000,1.999921
34.000000,1.999965
34.100000,2.000006
34.200000,2.000044
34.300000,2.000078
34.400000,2.000108
34.500000,2.000133
34.600000,2.000151
34.700000,2.000162
34.800000,2.000166
34.900000,2.000167
35.000000,2.000165
35.100000,2.000160
35.200000,2.000152
35.300000,2.000141
35.400000,2.000128
35.500000,2.000113
35.600000,2.000097
35.700000,2.000080
35.800000,2.000064
35.900000,2.000047
36.000000,2.000032
36.100000,2.000016
36.200000,2.000000
36.300000,1.999983
36.400000,1.999966
36.500000,1.999948
36.600000,1.999931
36.700000,1.999913
36.800000,1.999896
36.900000,1.999879
37.000000,1.999863
37.100000,1.999847
37.200000,1.999833
37.300000,1.999819
37.400000,1.999806
37.500000,1.999795
37.600000,1.999785
37.700000,1.999776
37.800000,1.999769
37.900000,1.999764
38.000000,1.999761
38.100000,1.999759
38.200000,1.999760
38.300000,1.999763
38.400000,1.999769
38.500000,1.999777
38.600000,1.999788
38.700000,1.999799
38.800000,1.999811
38.900000,1.999823
39.000000,1.999837
39.100000,1.999850
39.200000,1.999864
39.300000,1.999878
39.400000,1.999892
39.500000,1.999906
39.600000,1.999920
39.700000,1.999933
39.800000,1.999946
39.900000,1.999958
40.000000,1.999970
40.100000,1.999980
40.200000,1.999990
40.300000,1.999998
40.400000,2.000005
40.500000,2.000011
40.600000,2.000015
40.700000,2.000018
40.800000,2.000019
40.900000,2.000018
41.000000,2.000017
41.100000,2.000015
41.200000,2.000014
41.300000,2.000012
41.400000,2.000011
41.500000,2.000009
41.600000,2.000007
41.700000,2.000005
41.800000,2.000003
41.900000,2.000002
42.000000,2.000000
42.100000,1.999998
42.200000,1.999997
42.300000,1.999995
42.400000,1.999994
42.500000,1.999992
42.600000,1.999991
42.700000,1.999990
42.800000,1.999990
42.900000,1.999989
43.000000,1.999989
43.100000,1.999989
43.200000,1.999990
43.300000,1.999990
43.400000,1.999991
43.500000,1.999991
43.600000,1.999992
43.700000,1.999992
43.800000,1.999993
43.900000,1.999993
44.000000,1.999994
44.100000,1.999994
44.200000,1.999995
44.300000,1.999995
44.400000,1.999995
44.500000,1.999996
44.600000,1.999996
44.700000,1.999996
44.800000,1.999996
44.900000,1.999997
45.000000,1.999997
45.100000,1.999997
45.200000,1.999997
45.300000,1.999997
45.400000,1.999997
45.500000,1.999996
45.600000,1.999996
45.700000,1.999996
45.800000,1.999996
45.900000,1.999996
46.000000,1.999995
46.100000,1.999995
46.200000,1.999995
46.300000,1.999995
46.400000,1.999995
46.500000,1.999994
46.600000,1.999994
46.700000,1.999994
46.800000,1.999994
46.900000,1.999994
47.000000,1.999994
47.100000,1.999994
47.200000,1.999994
47.300000,1.999994
47.400000,1.999994
47.500000,1.999994
47.600000,1.999995
47.700000,1.999995
47.800000,1.999995
47.900000,1.999995
48.000000,1.999996
48.100000,1.999996
48.200000,1.999996
48.300000,1.999997
48.400000,1.999997
48.500000,1.999997
48.600000,1.999998
48.700000,1.999998
48.800000,1.999998
48.900000,1.999998
49.000000,1.999999
49.100000,1.999999
49.200000,1.999999
49.300000,1.999999
49.400000,2.000000
49.500000,2.000000
49.600000,2.000000
49.700000,2.000000
49.800000,2.000000
49.900000,2.000001
50.000000,2.000001
