Time,Protein_concentration,Activator_concentration
18.600000,1.333353,1.000000
18.700000,1.333345,1.000000
18.800000,1.333324,1.000000
18.900000,1.333298,1.000000
19.000000,1.333274,1.000000
19.100000,1.333254,1.000000
19.200000,1.333243,1.000000
19.300000,1.333247,1.000000
19.400000,1.333270,1.000000
19.500000,1.333311,1.000000
19.600000,1.333358,1.000000
19.700000,1.333405,1.000000
19.800000,1.333450,1.000000
19.900000,1.333487,1.000000
20.000000,1.333512,1.000000
20.100000,1.333517,1.000000
20.200000,1.333512,1.000000
20.300000,1.333506,1.000000
20.400000,1.333500,1.000000
20.500000,1.333499,1.000000
20.600000,1.333506,1.000000
20.700000,1.333528,1.000000
20.800000,1.333566,1.000000
20.900000,1.333604,1.000000
21.000000,1.333638,1.000000
21.100000,1.333661,1.000000
21.200000,1.333669,1.000000
21.300000,1.333654,1.000000
21.400000,1.333610,1.000000
21.500000,1.333542,1.000000
21.600000,1.333473,1.000000
21.700000,1.333409,1.000000
21.800000,1.333360,1.000000
21.900000,1.333336,1.000000
22.000000,1.333348,1.000000
22.100000,1.333408,1.000000
22.200000,1.333493,1.000000
22.300000,1.333586,1.000000
22.400000,1.333680,1.000000
22.500000,1.333764,1.000000
22.600000,1.333828,1.000000
22.700000,1.333859,1.000000
22.800000,1.333850,1.000000
22.900000,1.333823,1.000000
23.000000,1.333786,1.000000
23.100000,1.333741,1.000000
23.200000,1.333693,1.000000
23.300000,1.333648,1.000000
23.400000,1.333612,1.000000
23.500000,1.333584,1.000000
23.600000,1.333555,1.000000
23.700000,1.333524,1.000000
23.800000,1.333491,1.000000
23.900000,1.333454,1.000000
24.000000,1.333413,1.000000
24.100000,1.333366,1.000000
24.200000,1.333320,1.000000
24.300000,1.333278,1.000000
24.400000,1.333244,1.000000
24.500000,1.333221,1.000000
24.600000,1.333212,1.000000
24.700000,1.333220,1.000000
24.800000,1.333247,1.000000
24.900000,1.333279,1.000000
25.000000,1.333311,1.000000
25.100000,1.333338,1.000000
25.200000,1.333353,1.000000
25.300000,1.333351,1.000000
25.400000,1.333324,1.000000
25.500000,1.333281,1.000000
25.600000,1.333237,1.000000
25.700000,1.333200,1.000000
25.800000,1.333176,1.000000
25.900000,1.333174,1.000000
26.000000,1.333202,1.000000
26.100000,1.333269,1.000000
26.200000,1.333348,1.000000
26.300000,1.333424,1.000000
26.400000,1.333486,1.000000
26.500000,1.333523,1.000000
26.600000,1.333522,1.000000
26.700000,1.333467,1.000000
26.800000,1.333361,1.000000
26.900000,1.333251,1.000000
27.000000,1.333154,1.000000
27.100000,1.333089,1.000000
27.200000,1.333074,1.000000
27.300000,1.333099,1.000000
27.400000,1.333138,1.000000
27.500000,1.333181,1.000000
27.600000,1.333214,1.000000
27.700000,1.333224,1.000000
27.800000,1.333224,1.000000
27.900000,1.333221,1.000000
28.000000,1.333216,1.000000
28.100000,1.333215,1.000000
28.200000,1.333218,1.000000
28.300000,1.333222,1.000000
28.400000,1.333227,1.000000
28.500000,1.333231,1.000000
28.600000,1.333237,1.000000
28.700000,1.333243,1.000000
28.800000,1.333248,1.000000
28.900000,1.333254,1.000000
29.000000,1.333258,1.000000
29.100000,1.333262,1.000000
29.200000,1.333265,1.000000
29.300000,1.333268,1.000000
29.400000,1.333271,1.000000
29.500000,1.333273,1.000000
29.600000,1.333275,1.000000
29.700000,1.333277,1.000000
29.800000,1.333279,1.000000
29.900000,1.333281,1.000000
30.000000,1.333283,1.000000
30.100000,1.333286,1.000000
30.200000,1.333288,1.000000
30.300000,1.333290,1.000000
30.400000,1.333293,1.000000
30.500000,1.333295,1.000000
30.600000,1.333296,1.000000
30.700000,1.333298,1.000000
30.800000,1.333300,1.000000
30.900000,1.333302,1.000000
31.000000,1.333303,1.000000
31.100000,1.333305,1.000000
31.200000,1.333306,1.000000
31.300000,1.333308,1.000000
31.400000,1.333309,1.000000
31.500000,1.333310,1.000000
31.600000,1.333311,1.000000
31.700000,1.333312,1.000000
31.800000,1.333313,1.000000
31.900000,1.333314,1.000000
32.000000,1.333315,1.000000
32.100000,1.333316,1.000000
32.200000,1.333317,1.000000
32.300000,1.333318,1.000000
32.400000,1.333318,1.000000
32.500000,1.333319,1.000000
32.600000,1.333320,1.000000
32.700000,1.333320,1.000000
32.800000,1.333321,1.000000
32.900000,1.333321,1.000000
33.000000,1.333322,1.000000
33.100000,1.333323,1.000000
33.200000,1.333323,1.000000
33.300000,1.333324,1.000000
33.400000,1.333324,1.000000
33.500000,1.333324,1.000000
33.600000,1.333325,1.000000
33.700000,1.333325,1.000000
33.800000,1.333326,1.000000
33.900000,1.333326,1.000000
34.000000,1.333326,1.000000
34.100000,1.333326,1.000000
34.200000,1.333327,1.000000
34.300000,1.333327,1.000000
34.400000,1.333327,1.000000
34.500000,1.333327,1.000000
34.600000,1.333327,1.000000
34.700000,1.333327,1.000000
34.800000,1.333327,1.000000
34.900000,1.333327,1.000000
35.000000,1.333327,1.000000
35.100000,1.333327,1.000000
35.200000,1.333327,1.000000
35.300000,1.333327,1.000000
35.400000,1.333327,1.000000
35.500000,1.333327,1.000000
35.600000,1.333327,1.000000
35.700000,1.333327,1.000000
35.800000,1.333327,1.000000
35.900000,1.333327,1.000000
36.000000,1.333327,1.000000
36.100000,1.333326,1.000000
36.200000,1.333326,1.000000
